"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"NCD_BMI_30A","PUBLISHED","1987","AFR","","YEARS18-PLUS","FMLE","5.4 [4.3-6.6]","5.40000","4.30000","6.60000",""
"NCD_BMI_30A","PUBLISHED","2007","GLOBAL","","YEARS18-PLUS","MLE","8.4 [7.9-9.0]","8.40000","7.90000","9.00000",""
"NCD_BMI_30A","PUBLISHED","1978","GLOBAL","","YEARS18-PLUS","MLE","3.5 [2.8-4.3]","3.50000","2.80000","4.30000",""
"NCD_BMI_30A","PUBLISHED","2009","WPR","","YEARS18-PLUS","FMLE","5.0 [4.1-5.9]","5.00000","4.10000","5.90000",""
"NCD_BMI_30A","PUBLISHED","2001","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","MLE","6.9 [6.4-7.4]","6.90000","6.40000","7.40000",""
"NCD_BMI_30A","PUBLISHED","2016","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","MLE","11.1 [10.2-12.2]","11.10000","10.20000","12.20000",""
"NCD_BMI_30A","PUBLISHED","1993","EUR","","YEARS18-PLUS","FMLE","17.7 [16.3-19.2]","17.70000","16.30000","19.20000",""
"NCD_BMI_30A","PUBLISHED","1979","EMR","","YEARS18-PLUS","BTSX","6.7 [5.1-8.5]","6.70000","5.10000","8.50000",""
"NCD_BMI_30A","PUBLISHED","1992","AFR","","YEARS18-PLUS","MLE","1.6 [1.2-2.1]","1.60000","1.20000","2.10000",""
"NCD_BMI_30A","PUBLISHED","2001","AMR","","YEARS18-PLUS","MLE","18.0 [16.3-19.8]","18.00000","16.30000","19.80000",""
"NCD_BMI_30A","PUBLISHED","1995","SEAR","","YEARS18-PLUS","BTSX","1.4 [1.2-1.7]","1.40000","1.20000","1.70000",""
"NCD_BMI_30A","PUBLISHED","1994","EMR","","YEARS18-PLUS","MLE","6.8 [5.6-8.1]","6.80000","5.60000","8.10000",""
