author,title,doi,LD
David Meltzer,"Continuous glucose monitoring and intensive treatment of type 1 diabetes
",10.1089/dia.2017.0051,63
David Meltzer,"Communication failures in patient sign-out and suggestions for improvement: a critical incident analysis
",10.1136/bmjqs-2012-001109,46
David Meltzer,"Delivering affordable cancer care in high-income countries
",10.1016/s1470-2045(11)70141-3,96
David Meltzer,"Accounting for future costs in medical cost-effectiveness analysis
",10.1016/s0167-6296(96)00507-3,96
David Meltzer,"What does the value of modern medicine say about the $50,000 per quality-adjusted life-year decision rule?
",10.1097/mlr.0b013e31815c31a7,87
David Meltzer,"Effects of physician experience on costs and outcomes on an academic general medicine service: results of a trial of hospitalists
",10.7326/0003-4819-137-11-200212030-00007,90
David Meltzer,"Impact of interpreter services on delivery of health care to limited-English-proficient patients
",10.1046/j.1525-1497.2001.016007468.x,97
David Meltzer,"Recommendations for conduct, methodological practices, and reporting of cost-effectiveness analyses: second panel on cost-effectiveness in health and medicine
",10.1001/jama.2016.12195,71
David Meltzer,"Hospital readmission in general medicine patients: a prediction model
",10.1007/s11606-009-1196-1,87
David Meltzer,"Patient-physician communication about out-of-pocket costs
",10.1111/j.1525-1497.2004.30249.x,85
David Meltzer,"Patient perceptions of quality of life with diabetes-related complications and treatments
",10.2337/dc07-0499,89
David Meltzer,"What do we really know about whether health insurance affects health
",10.3945/ajcn.111.031096,66
David Meltzer,"The effect of the Medicare Part D prescription benefit on drug utilization and expenditures
",10.7326/0003-4819-148-3-200802050-00200,91
David Meltzer,"Use of a self-report-generated Charlson Comorbidity Index for predicting mortality
",10.1097/01.mlr.0000163658.65008.ec,91
David Meltzer,"The impact of health insurance on health
",10.1146/annurev.publhealth.28.021406.144042,85
David Meltzer,"Coordinating care across diseases, settings, and clinicians: a key role for the generalist in practice
",10.7326/0003-4819-142-8-200504190-00038,89
David Meltzer,"The role of anxiety in prostate carcinoma: a structured review of the literature
",10.1002/cncr.21198,65
David Meltzer,"Do important drugs reach the market sooner?
",10.2307/2555769,84
David Meltzer,"Some reflections on cost‐effectiveness analysis
",10.1002/(sici)1099-1050(199802)7:1<1::aid-hec327>3.0.co;2-u,84
David Meltzer,"Estimate of the carbon footprint of the US health care sector
",10.1001/jama.2009.1610,88
Ariel Kalil,"Barriers to the employment of welfare recipients
",10.1023/a:1010351302196,46
Ariel Kalil,"Early‐childhood poverty and adult attainment, behavior, and health
",10.1111/j.1467-8624.2009.01396.x,86
Ariel Kalil,"Good things come in threes: Single-parent multigenerational family structure and adolescent adjustment
",10.2307/3088345,89
Ariel Kalil,"Mixing qualitative and quantitative research in developmental science: Uses and methodological choices.
",10.1037/0012-1649.44.2.344,98
Ariel Kalil,"Diverging destinies: Maternal education and the developmental gradient in time with children
",10.1007/s13524-012-0129-5,90
Ariel Kalil,"Human capital, physical health, and mental health of welfare recipients: Co‐occurrence and correlates
",10.1111/0022-4537.00189,89
Ariel Kalil,"How welfare reform is affecting women's work
",10.1146/annurev.soc.26.1.241,84
Ariel Kalil,"Perceptions of father involvement patterns in teenage‐mother families: Predictors and links to mothers’ psychological adjustment*
",10.1111/j.0197-6664.2005.00016.x,97
Ariel Kalil,"Family resilience and good child outcomes
",10.4324/9781410610874,50
Ariel Kalil,"Sanctions and material hardship under TANF
",10.1086/342998,90
Ariel Kalil,"The effects of parental undocumented status on the developmental contexts of young children in immigrant families
",10.1111/j.1750-8606.2011.00204.x,89
Ariel Kalil,"Maternal employment, work schedules, and children’s body mass index
",10.1111/j.1467-8624.2010.01541.x,86
Ariel Kalil,"The importance of early childhood poverty
",10.1007/s11205-011-9867-9,85
Ariel Kalil,"Parental employment circumstances and children’s academic progress
",10.1016/j.ssresearch.2007.08.007,96
Ariel Kalil,"Happiness and the invisible threads of social connection
",10.1177/074355802237463,41
Ariel Kalil,"Does consumption buy happiness? Evidence from the United States
",10.1007/s12232-010-0093-6,96
Ariel Kalil,"How do cohabiting couples with children spend their money?
",10.1111/j.0022-2445.2005.00116.x,96
Ariel Kalil,"Mothers' economic conditions and sources of support in fragile families
",10.1353/foc.2010.0009,88
Ariel Kalil,"Maternal working conditions and child well-being in welfare-leaving families.
",10.1037/0012-1649.41.6.851,87
Ariel Kalil,"Longitudinal patterns of nonresident fathers’ involvement: The role of resources and relations
",10.1111/j.1741-3737.2008.00539.x,90
Dexter R. Voisin,"The effects of family and community violence exposure among youth: Recommendations for practice and policy
",10.1007/s10615-014-0506-1,49
Dexter R. Voisin,"The relationship between violence exposure and HIV sexual risk behaviors: Does gender matter?
",10.1037/0002-9432.75.4.497,97
Dexter R. Voisin,"HIV risks of men in methadone maintenance treatment programs who abuse their intimate partners: a forgotten issue
",10.1016/s0899-3289(01)00068-2,89
Dexter R. Voisin,"Ecological factors associated with STD risk behaviors among detained female adolescents
",10.1093/sw/51.1.71,89
Dexter R. Voisin,"Teacher connectedness and health-related outcomes among detained adolescents
",10.1016/j.jadohealth.2004.11.137,97
Dexter R. Voisin,"Family ecology and HIV sexual risk behaviors among African American and Puerto Rican adolescent males
",10.1037/0002-9432.72.2.294,97
Dexter R. Voisin,"Community violence exposure and adolescent delinquency: Examining a spectrum of promotive factors
",10.1177/0044118x13475827,64
Dexter R. Voisin,"Community collaborative youth-focused HIV/AIDS prevention in South Africa and Trinidad: preliminary findings
",10.1093/jpepsy/jsj100,92
Dexter R. Voisin,"“You’re an open target to be abused”: A qualitative study of stigma and HIV self-disclosure among Black men who have sex with men
",10.2105/ajph.2013.301437,86
Dexter R. Voisin,"Victims of community violence and HIV sexual risk behaviors among African American adolescent males
",10.1300/j129v05n03_05,90
Dexter R. Voisin,"“It's crazy being a Black, gay youth.” Getting information about HIV prevention: A pilot study
",10.1016/j.adolescence.2012.09.009,97
Dexter R. Voisin,"Mechanisms linking violence exposure and school engagement among African American adolescents: Examining the roles of psychological problem behaviors and gender.
",10.1111/j.1939-0025.2010.01072.x,98
Dexter R. Voisin,"The association between gang involvement and sexual behaviours among detained adolescent males
",10.1136/sti.2004.010926,97
Dexter R. Voisin,"Witnessing community violence and health‐risk behaviors among detained adolescents
",10.1037/0002-9432.77.4.506,95
Dexter R. Voisin,"African American adolescents living and coping with community violence on Chicago’s Southside
",10.1177/0886260510383029,91
Dexter R. Voisin,"A conceptual model of HIV disclosure in casual sexual encounters among men who have sex with men
",10.1177/1359105310379064,97
Dexter R. Voisin,"A meditational model linking witnessing intimate partner violence and bullying behaviors and victimization among youth
",10.1007/s10648-012-9197-8,88
Dexter R. Voisin,"Toward a conceptual model linking community violence exposure to HIV-related risk behaviors among adolescents: Directions for research
",10.1016/j.jadohealth.2011.01.002,89
Dexter R. Voisin,"Community violence and health risk factors among adolescents on Chicago's southside: does gender matter?
",10.1016/j.jadohealth.2009.11.213,88
Dexter R. Voisin,"Ecological factors associated with sexual risk behaviors among detained adolescents: A systematic review
",10.1016/j.childyouth.2012.07.003,98
Christopher Berry,"The divergence of human capital levels across cities
",10.1111/j.1435-5957.2005.00047.x,95
Christopher Berry,"The president and the distribution of federal spending
",10.1017/s0003055410000377,88
Christopher Berry,"The Jackie (and Jill) Robinson effect: why do congresswomen outperform congressmen?
",10.1111/j.1540-5907.2011.00512.x,90
Christopher Berry,"Accountability and local elections: Rethinking retrospective voting
",10.1111/j.1468-2508.2007.00579.x,91
Christopher Berry,"A Bridge to Somewhere: Mapping State and Congressional Ideology on a Cross‐Institutional Common Space
",10.3162/036298010792069198,96
Christopher Berry,"The unbundled executive
",10.4324/9780203507148,50
Christopher Berry,"Imperfect Union: Representation and taxation in multilevel governments
",10.1111/j.1468-232x.2010.00628.x,45
Christopher Berry,"After enactment: The lives and deaths of federal programs
",10.1111/j.1540-5907.2009.00414.x,87
Christopher Berry,"Why are smart places getting smarter
",10.1177/1536504217742400,48
Christopher Berry,"Growing pains: The school consolidation movement and student outcomes
",10.1093/jleo/ewn015,88
Christopher Berry,"Piling on: Multilevel government and the fiscal common‐pool
",10.1111/j.1540-5907.2008.00344.x,86
Christopher Berry,"Land use regulation and residential segregation: Does zoning matter?
",10.1093/aler/3.2.251,88
Christopher Berry,"To Bank or Not to Bank? A Survey ofLow-Income Households
",10.1017/s0896634600002235,37
Christopher Berry,"School inflation
",10.1093/acprof:oso/9780199686506.003.0008,53
Christopher Berry,"Cardinals or clerics? Congressional committees and the distribution of pork
",10.1111/ajps.12192,92
Christopher Berry,"The changing dynamics of urban America
",10.1007/1-4020-3902-6_3,77
Christopher Berry,"Election timing and public policy
",10.1561/100.00010070,85
Christopher Berry,"The timing of elections
",10.2139/ssrn.1433518,82
Christopher Berry,"Fiscal consequences of electoral institutions
",10.1086/595764,88
Christopher Berry,"The impact of school finance judgments on state fiscal policy
",10.1016/s0047-2727(01)00203-1,62
Steve Cicala,"When does regulation distort costs? lessons from fuel procurement in us electricity generation
",10.1257/aer.20131377,86
Steve Cicala,"Self-Selection and Comparative Advantage in Social Interactions
",10.1093/jeea/jvx031,93
Steve Cicala,"Imperfect markets versus imperfect regulation in US electricity generation
",10.3386/w23053,89
Steve Cicala,"Regulating Markups in US Health Insurance
",10.3386/w23353,43
Steve Cicala,"Comments and Discussion
",10.1353/eca.2016.0008,90
Steve Cicala,"Books & Publications
",10.1080/21594937.2014.976038,42
Steve Cicala,"Books & Publications
",10.1080/21594937.2014.976038,42
Ethan Bueno de Mesquita,"The quality of terror
",10.2307/3647729,81
Ethan Bueno de Mesquita,"The propaganda of the deed: Terrorism, counterterrorism, and mobilization
",10.1111/j.1540-5907.2007.00256.x,91
Ethan Bueno de Mesquita,"Conciliation, counterterrorism, and patterns of terrorist violence
",10.1017/s0020818305050022,91
Ethan Bueno de Mesquita,"Regime change and revolutionary entrepreneurs
",10.1017/s0003055410000274,88
Ethan Bueno de Mesquita,"Electoral Selection, Strategic Challenger Entry, and the Incumbency Advantage
",10.1017/s0022381608081024,97
Ethan Bueno de Mesquita,"Disentangling Accountability and Competence in Elections: Evidence from US Term Limits
",10.1017/s0022381610000940,96
